Matricule;Annee;Mois;Code;Libelle;Type;Montant;indic_astr;indic_IHTS
300608;2013;2;1900;HEURES SUPPL.  = 14 H;R;23,96;FALSE;TRUE
300608;2013;2;1930;HEURES SUPPL. DE NUIT;R;23,97;FALSE;TRUE
300608;2013;2;4050;IND. ASTREINTE NUIT SEMAINE;R;15,08;TRUE;FALSE
300608;2013;3;1900;HEURES SUPPL.  = 14 H;R;107,82;FALSE;TRUE
300608;2013;3;1920;HEURES SUPPL. DIMANCHE JF;R;69,9;FALSE;TRUE
300608;2013;3;1930;HEURES SUPPL. DE NUIT;R;47,94;FALSE;TRUE
300608;2013;3;4050;IND. ASTREINTE NUIT SEMAINE;R;45,23;TRUE;FALSE
300608;2013;3;4090;INDEMNITE D ASTREINTE WEEK-END;R;163,92;TRUE;FALSE
300622;2009;3;1900;HEURES SUPPL.  = 14 H;R;0,22;FALSE;TRUE
300622;2009;3;1930;HEURES SUPPL. DE NUIT;R;0,19;FALSE;TRUE
300622;2009;3;401B;INDEMNITES D ASTREINTES            M.S;R;17,43;TRUE;FALSE
300622;2009;3;4050;IND. ASTREINTE NUIT SEMAINE;R;40,2;TRUE;FALSE
300622;2009;3;4090;INDEMNITE D ASTREINTE WEEK-END;R;109,28;TRUE;FALSE
300670;2012;3;1900;HEURES SUPPL.  = 14 H;R;93,12;FALSE;TRUE
300670;2012;3;1930;HEURES SUPPL. DE NUIT;R;93,12;FALSE;TRUE
300670;2012;3;4070;IND. ASTREINTE JOUR SAMEDI;R;52,28;TRUE;FALSE
300670;2012;3;4075;IND ASTR NUIT SEM FRACTIONNEE;R;36,36;TRUE;FALSE
300670;2012;3;4090;INDEMNITE D ASTREINTE WEEK-END;R;163,92;TRUE;FALSE
300670;2013;2;1900;HEURES SUPPL.  = 14 H;R;149,25;FALSE;TRUE
300670;2013;2;1930;HEURES SUPPL. DE NUIT;R;191,12;FALSE;TRUE
300670;2013;2;4050;IND. ASTREINTE NUIT SEMAINE;R;75,38;TRUE;FALSE
300670;2013;2;4070;IND. ASTREINTE JOUR SAMEDI;R;52,28;TRUE;FALSE
300670;2013;2;4090;INDEMNITE D ASTREINTE WEEK-END;R;327,84;TRUE;FALSE
300670;2013;3;1900;HEURES SUPPL.  = 14 H;R;17,91;FALSE;TRUE
300670;2013;3;1920;HEURES SUPPL. DIMANCHE JF;R;129,42;FALSE;TRUE
300670;2013;3;1930;HEURES SUPPL. DE NUIT;R;47,78;FALSE;TRUE
300670;2013;3;4050;IND. ASTREINTE NUIT SEMAINE;R;60,3;TRUE;FALSE
300670;2013;3;4090;INDEMNITE D ASTREINTE WEEK-END;R;163,92;TRUE;FALSE
300799;2009;6;1900;HEURES SUPPL.  = 14 H;R;142,8;FALSE;TRUE
300799;2009;6;401B;INDEMNITES D ASTREINTES            M.S;R;34,86;TRUE;FALSE
300799;2009;6;4050;IND. ASTREINTE NUIT SEMAINE;R;30,15;TRUE;FALSE
300799;2009;6;4080;INDEMNITE D ASTREINTE JOURNEE DIM FERIE;R;86,76;TRUE;FALSE
300799;2009;6;4090;INDEMNITE D ASTREINTE WEEK-END;R;218,56;TRUE;FALSE
300799;2009;7;1900;HEURES SUPPL.  = 14 H;R;171,36;FALSE;TRUE
300799;2009;7;1920;HEURES SUPPL. DIMANCHE JF;R;91,67;FALSE;TRUE
300799;2009;7;401B;INDEMNITES D ASTREINTES            M.S;R;17,43;TRUE;FALSE
300799;2009;7;4050;IND. ASTREINTE NUIT SEMAINE;R;30,15;TRUE;FALSE
300799;2009;7;4080;INDEMNITE D ASTREINTE JOURNEE DIM FERIE;R;43,38;TRUE;FALSE
300799;2009;7;4090;INDEMNITE D ASTREINTE WEEK-END;R;109,28;TRUE;FALSE
300799;2009;8;1900;HEURES SUPPL.  = 14 H;R;64,58;FALSE;TRUE
300799;2009;8;401B;INDEMNITES D ASTREINTES            M.S;R;17,43;TRUE;FALSE
300799;2009;8;4050;IND. ASTREINTE NUIT SEMAINE;R;40,2;TRUE;FALSE
300799;2009;8;4090;INDEMNITE D ASTREINTE WEEK-END;R;109,28;TRUE;FALSE
300799;2009;10;1900;HEURES SUPPL.  = 14 H;R;157,85;FALSE;TRUE
300799;2009;10;1920;HEURES SUPPL. DIMANCHE JF;R;204,7;FALSE;TRUE
300799;2009;10;401B;INDEMNITES D ASTREINTES            M.S;R;17,43;TRUE;FALSE
300799;2009;10;4050;IND. ASTREINTE NUIT SEMAINE;R;40,2;TRUE;FALSE
300799;2009;10;4090;INDEMNITE D ASTREINTE WEEK-END;R;109,28;TRUE;FALSE
300799;2010;2;1920;HEURES SUPPL. DIMANCHE JF;R;107,91;FALSE;TRUE
300799;2010;2;401B;INDEMNITES D ASTREINTES            M.S;R;17,43;TRUE;FALSE
300799;2010;2;4040;IND. ASTREINTE SEM. FIL TECH.;R;149,48;TRUE;FALSE
300799;2010;4;1900;HEURES SUPPL.  = 14 H;R;136,71;FALSE;TRUE
300799;2010;4;401B;INDEMNITES D ASTREINTES            M.S;R;17,43;TRUE;FALSE
300799;2010;4;4040;IND. ASTREINTE SEM. FIL TECH.;R;149,48;TRUE;FALSE
300799;2010;7;1900;HEURES SUPPL.  = 14 H;R;64,76;FALSE;TRUE
300799;2010;7;401B;INDEMNITES D ASTREINTES            M.S;R;17,43;TRUE;FALSE
300799;2010;7;4040;IND. ASTREINTE SEM. FIL TECH.;R;149,48;TRUE;FALSE
300799;2010;8;1900;HEURES SUPPL.  = 14 H;R;101,22;FALSE;TRUE
300799;2010;8;401B;INDEMNITES D ASTREINTES            M.S;R;17,43;TRUE;FALSE
300799;2010;8;4040;IND. ASTREINTE SEM. FIL TECH.;R;149,48;TRUE;FALSE
300799;2010;10;1900;HEURES SUPPL.  = 14 H;R;79,53;FALSE;TRUE
300799;2010;10;401B;INDEMNITES D ASTREINTES            M.S;R;17,43;TRUE;FALSE
300799;2010;10;4040;IND. ASTREINTE SEM. FIL TECH.;R;149,48;TRUE;FALSE
300799;2011;9;1900;HEURES SUPPL.  = 14 H;R;72,3;FALSE;TRUE
300799;2011;9;1930;HEURES SUPPL. DE NUIT;R;144,65;FALSE;TRUE
300799;2011;9;401B;INDEMNITES D ASTREINTES            M.S;R;17,43;TRUE;FALSE
300799;2011;9;4040;IND. ASTREINTE SEM. FIL TECH.;R;149,48;TRUE;FALSE
300799;2011;11;1900;HEURES SUPPL.  = 14 H;R;115,68;FALSE;TRUE
300799;2011;11;401B;INDEMNITES D ASTREINTES            M.S;R;17,43;TRUE;FALSE
300799;2011;11;4040;IND. ASTREINTE SEM. FIL TECH.;R;149,48;TRUE;FALSE
300799;2011;12;1900;HEURES SUPPL.  = 14 H;R;142,12;FALSE;TRUE
300799;2011;12;1920;HEURES SUPPL. DIMANCHE JF;R;49,86;FALSE;TRUE
300799;2011;12;1930;HEURES SUPPL. DE NUIT;R;14,96;FALSE;TRUE
300799;2011;12;401B;INDEMNITES D ASTREINTES            M.S;R;17,43;TRUE;FALSE
300799;2011;12;4040;IND. ASTREINTE SEM. FIL TECH.;R;149,48;TRUE;FALSE
300799;2012;5;1920;HEURES SUPPL. DIMANCHE JF;R;62,33;FALSE;TRUE
300799;2012;5;401B;INDEMNITES D ASTREINTES            M.S;R;17,43;TRUE;FALSE
300799;2012;5;4040;IND. ASTREINTE SEM. FIL TECH.;R;149,48;TRUE;FALSE
300799;2012;6;1920;HEURES SUPPL. DIMANCHE JF;R;99,72;FALSE;TRUE
300799;2012;6;401B;INDEMNITES D ASTREINTES            M.S;R;17,43;TRUE;FALSE
300799;2012;6;4050;IND. ASTREINTE NUIT SEMAINE;R;30,15;TRUE;FALSE
300799;2012;6;4080;INDEMNITE D ASTREINTE JOURNEE DIM FERIE;R;43,38;TRUE;FALSE
300799;2012;6;4090;INDEMNITE D ASTREINTE WEEK-END;R;109,28;TRUE;FALSE
300799;2012;9;1900;HEURES SUPPL.  = 14 H;R;209,44;FALSE;TRUE
300799;2012;9;1900;HEURES SUPPL.  = 14 H;R;74,8;FALSE;TRUE
300799;2012;9;1920;HEURES SUPPL. DIMANCHE JF;R;199,44;FALSE;TRUE
300799;2012;9;1930;HEURES SUPPL. DE NUIT;R;359,04;FALSE;TRUE
300799;2012;9;401B;INDEMNITES D ASTREINTES            M.S;R;17,43;TRUE;FALSE
300799;2012;9;4040;IND. ASTREINTE SEM. FIL TECH.;R;149,48;TRUE;FALSE
300799;2012;10;1900;HEURES SUPPL.  = 14 H;R;97,24;FALSE;TRUE
300799;2012;10;1920;HEURES SUPPL. DIMANCHE JF;R;162,05;FALSE;TRUE
300799;2012;10;1930;HEURES SUPPL. DE NUIT;R;44,88;FALSE;TRUE
300799;2012;10;401B;INDEMNITES D ASTREINTES            M.S;R;34,86;TRUE;FALSE
300799;2012;10;4040;IND. ASTREINTE SEM. FIL TECH.;R;298,96;TRUE;FALSE
300799;2013;1;1900;HEURES SUPPL.  = 14 H;R;104,72;FALSE;TRUE
300799;2013;1;1920;HEURES SUPPL. DIMANCHE JF;R;49,86;FALSE;TRUE
300799;2013;1;401B;INDEMNITES D ASTREINTES            M.S;R;17,43;TRUE;FALSE
300799;2013;1;4040;IND. ASTREINTE SEM. FIL TECH.;R;149,48;TRUE;FALSE
300799;2013;1;4070;IND. ASTREINTE JOUR SAMEDI;R;52,28;TRUE;FALSE
300799;2013;1;4075;IND ASTR NUIT SEM FRACTIONNEE;R;36,36;TRUE;FALSE
300799;2013;1;4090;INDEMNITE D ASTREINTE WEEK-END;R;163,92;TRUE;FALSE
300799;2013;3;1930;HEURES SUPPL. DE NUIT;R;120,28;FALSE;TRUE
300799;2013;3;401B;INDEMNITES D ASTREINTES            M.S;R;17,43;TRUE;FALSE
300799;2013;3;4040;IND. ASTREINTE SEM. FIL TECH.;R;149,48;TRUE;FALSE
300799;2013;8;1900;HEURES SUPPL.  = 14 H;R;60,16;FALSE;TRUE
300799;2013;8;1920;HEURES SUPPL. DIMANCHE JF;R;50,12;FALSE;TRUE
300799;2013;8;1930;HEURES SUPPL. DE NUIT;R;105,25;FALSE;TRUE
300799;2013;8;401B;INDEMNITES D ASTREINTES            M.S;R;34,86;TRUE;FALSE
300799;2013;8;4040;IND. ASTREINTE SEM. FIL TECH.;R;298,96;TRUE;FALSE
300799;2013;12;1900;HEURES SUPPL.  = 14 H;R;7,52;FALSE;TRUE
300799;2013;12;1900;HEURES SUPPL.  = 14 H;R;210,56;FALSE;TRUE
300799;2013;12;1920;HEURES SUPPL. DIMANCHE JF;R;62,65;FALSE;TRUE
300799;2013;12;1930;HEURES SUPPL. DE NUIT;R;120,28;FALSE;TRUE
300799;2013;12;401B;INDEMNITES D ASTREINTES            M.S;R;34,86;TRUE;FALSE
300799;2013;12;4040;IND. ASTREINTE SEM. FIL TECH.;R;149,48;TRUE;FALSE
300799;2013;12;4050;IND. ASTREINTE NUIT SEMAINE;R;30,15;TRUE;FALSE
300799;2013;12;4090;INDEMNITE D ASTREINTE WEEK-END;R;109,28;TRUE;FALSE
300926;2013;3;1920;HEURES SUPPL. DIMANCHE JF;R;98,25;FALSE;TRUE
300926;2013;3;4050;IND. ASTREINTE NUIT SEMAINE;R;15,08;TRUE;FALSE
300926;2013;3;4090;INDEMNITE D ASTREINTE WEEK-END;R;163,92;TRUE;FALSE
300977;2012;3;1900;HEURES SUPPL.  = 14 H;R;139,61;FALSE;TRUE
300977;2012;3;1930;HEURES SUPPL. DE NUIT;R;109,22;FALSE;TRUE
300977;2012;3;4040;IND. ASTREINTE SEM. FIL TECH.;R;224,22;TRUE;FALSE
300977;2012;3;4075;IND ASTR NUIT SEM FRACTIONNEE;R;24,24;TRUE;FALSE
300977;2013;1;1900;HEURES SUPPL.  = 14 H;R;18,21;FALSE;TRUE
300977;2013;1;1900;HEURES SUPPL.  = 14 H;R;169,96;FALSE;TRUE
300977;2013;1;1930;HEURES SUPPL. DE NUIT;R;36,41;FALSE;TRUE
300977;2013;1;4075;IND ASTR NUIT SEM FRACTIONNEE;R;48,48;TRUE;FALSE
300977;2013;1;4090;INDEMNITE D ASTREINTE WEEK-END;R;163,92;TRUE;FALSE
