Année 2012 | Mois 03 | Matricule   0240 | Rang global     41 | Rang dans fichier    41 | Analyseur C : N.ligne     17 | Xml : N.ligne     17 | Différence    0
Année 2012 | Mois 03 | Matricule   0047 | Rang global     42 | Rang dans fichier    42 | Analyseur C : N.ligne     32 | Xml : N.ligne     32 | Différence    0
Année 2012 | Mois 03 | Matricule   0048 | Rang global     43 | Rang dans fichier    43 | Analyseur C : N.ligne     32 | Xml : N.ligne     32 | Différence    0
Année 2012 | Mois 03 | Matricule   0049 | Rang global     44 | Rang dans fichier    44 | Analyseur C : N.ligne     36 | Xml : N.ligne     36 | Différence    0
Année 2012 | Mois 03 | Matricule   0051 | Rang global     45 | Rang dans fichier    45 | Analyseur C : N.ligne     27 | Xml : N.ligne     27 | Différence    0
Année 2012 | Mois 03 | Matricule   7013 | Rang global     46 | Rang dans fichier    46 | Analyseur C : N.ligne     22 | Xml : N.ligne     22 | Différence    0
Année 2012 | Mois 03 | Matricule   0052 | Rang global     47 | Rang dans fichier    47 | Analyseur C : N.ligne     24 | Xml : N.ligne     24 | Différence    0
Année 2012 | Mois 03 | Matricule   0384 | Rang global     48 | Rang dans fichier    48 | Analyseur C : N.ligne     22 | Xml : N.ligne     22 | Différence    0
Année 2012 | Mois 03 | Matricule   0054 | Rang global     49 | Rang dans fichier    49 | Analyseur C : N.ligne     29 | Xml : N.ligne     29 | Différence    0
Année 2012 | Mois 03 | Matricule   0055 | Rang global     50 | Rang dans fichier    50 | Analyseur C : N.ligne     25 | Xml : N.ligne     25 | Différence    0
Année 2012 | Mois 03 | Matricule   4410 | Rang global     51 | Rang dans fichier    51 | Analyseur C : N.ligne     25 | Xml : N.ligne     25 | Différence    0
Année 2012 | Mois 03 | Matricule   0268 | Rang global     52 | Rang dans fichier    52 | Analyseur C : N.ligne     27 | Xml : N.ligne     27 | Différence    0
Année 2012 | Mois 03 | Matricule   3173 | Rang global     53 | Rang dans fichier    53 | Analyseur C : N.ligne     24 | Xml : N.ligne     24 | Différence    0
Année 2012 | Mois 03 | Matricule   3002 | Rang global     54 | Rang dans fichier    54 | Analyseur C : N.ligne     27 | Xml : N.ligne     27 | Différence    0
Année 2012 | Mois 03 | Matricule   0578 | Rang global     55 | Rang dans fichier    55 | Analyseur C : N.ligne     35 | Xml : N.ligne     35 | Différence    0
Année 2012 | Mois 03 | Matricule   6006 | Rang global     56 | Rang dans fichier    56 | Analyseur C : N.ligne     28 | Xml : N.ligne     28 | Différence    0
Année 2012 | Mois 03 | Matricule   7005 | Rang global     57 | Rang dans fichier    57 | Analyseur C : N.ligne     32 | Xml : N.ligne     32 | Différence    0
Année 2012 | Mois 03 | Matricule   0270 | Rang global     58 | Rang dans fichier    58 | Analyseur C : N.ligne     23 | Xml : N.ligne     23 | Différence    0
Année 2012 | Mois 03 | Matricule   0067 | Rang global     59 | Rang dans fichier    59 | Analyseur C : N.ligne     30 | Xml : N.ligne     30 | Différence    0
Année 2012 | Mois 03 | Matricule   0406 | Rang global     60 | Rang dans fichier    60 | Analyseur C : N.ligne     26 | Xml : N.ligne     26 | Différence    0
Année 2012 | Mois 03 | Matricule   4242 | Rang global     61 | Rang dans fichier    61 | Analyseur C : N.ligne     27 | Xml : N.ligne     27 | Différence    0
Année 2012 | Mois 03 | Matricule   0514 | Rang global     62 | Rang dans fichier    62 | Analyseur C : N.ligne     27 | Xml : N.ligne     27 | Différence    0
Année 2012 | Mois 03 | Matricule   6004 | Rang global     63 | Rang dans fichier    63 | Analyseur C : N.ligne     26 | Xml : N.ligne     26 | Différence    0
Année 2012 | Mois 03 | Matricule   0076 | Rang global     64 | Rang dans fichier    64 | Analyseur C : N.ligne     27 | Xml : N.ligne     27 | Différence    0
Année 2012 | Mois 03 | Matricule   0077 | Rang global     65 | Rang dans fichier    65 | Analyseur C : N.ligne     27 | Xml : N.ligne     27 | Différence    0
Année 2012 | Mois 03 | Matricule   5007 | Rang global     66 | Rang dans fichier    66 | Analyseur C : N.ligne     26 | Xml : N.ligne     26 | Différence    0
Année 2012 | Mois 03 | Matricule   4069 | Rang global     67 | Rang dans fichier    67 | Analyseur C : N.ligne     21 | Xml : N.ligne     21 | Différence    0
Année 2012 | Mois 03 | Matricule   0242 | Rang global     68 | Rang dans fichier    68 | Analyseur C : N.ligne     30 | Xml : N.ligne     30 | Différence    0
Année 2012 | Mois 03 | Matricule   0557 | Rang global     69 | Rang dans fichier    69 | Analyseur C : N.ligne     24 | Xml : N.ligne     24 | Différence    0
Année 2012 | Mois 03 | Matricule   4527 | Rang global     70 | Rang dans fichier    70 | Analyseur C : N.ligne     25 | Xml : N.ligne     25 | Différence    0
Année 2012 | Mois 03 | Matricule   0080 | Rang global     71 | Rang dans fichier    71 | Analyseur C : N.ligne     19 | Xml : N.ligne     19 | Différence    0
Année 2012 | Mois 03 | Matricule   4249 | Rang global     72 | Rang dans fichier    72 | Analyseur C : N.ligne     22 | Xml : N.ligne     22 | Différence    0
Année 2012 | Mois 03 | Matricule   0085 | Rang global     73 | Rang dans fichier    73 | Analyseur C : N.ligne     26 | Xml : N.ligne     26 | Différence    0
Année 2012 | Mois 03 | Matricule   4157 | Rang global     74 | Rang dans fichier    74 | Analyseur C : N.ligne     24 | Xml : N.ligne     24 | Différence    0
Année 2012 | Mois 03 | Matricule   4100 | Rang global     75 | Rang dans fichier    75 | Analyseur C : N.ligne     26 | Xml : N.ligne     26 | Différence    0
Année 2012 | Mois 03 | Matricule   0559 | Rang global     76 | Rang dans fichier    76 | Analyseur C : N.ligne     23 | Xml : N.ligne     23 | Différence    0
Année 2012 | Mois 03 | Matricule   4453 | Rang global     77 | Rang dans fichier    77 | Analyseur C : N.ligne     22 | Xml : N.ligne     22 | Différence    0
Année 2012 | Mois 03 | Matricule   0091 | Rang global     78 | Rang dans fichier    78 | Analyseur C : N.ligne     35 | Xml : N.ligne     35 | Différence    0
Année 2012 | Mois 03 | Matricule   0405 | Rang global     79 | Rang dans fichier    79 | Analyseur C : N.ligne     22 | Xml : N.ligne     22 | Différence    0
Année 2012 | Mois 03 | Matricule   6065 | Rang global     80 | Rang dans fichier    80 | Analyseur C : N.ligne     23 | Xml : N.ligne     23 | Différence    0
Année 2012 | Mois 03 | Matricule   0095 | Rang global     81 | Rang dans fichier    81 | Analyseur C : N.ligne     39 | Xml : N.ligne     39 | Différence    0
Année 2012 | Mois 03 | Matricule   0652 | Rang global     82 | Rang dans fichier    82 | Analyseur C : N.ligne     26 | Xml : N.ligne     26 | Différence    0
Année 2012 | Mois 03 | Matricule   0274 | Rang global     83 | Rang dans fichier    83 | Analyseur C : N.ligne     26 | Xml : N.ligne     26 | Différence    0
Année 2012 | Mois 03 | Matricule   9029 | Rang global     84 | Rang dans fichier    84 | Analyseur C : N.ligne     12 | Xml : N.ligne     12 | Différence    0
Année 2012 | Mois 03 | Matricule   7017 | Rang global     85 | Rang dans fichier    85 | Analyseur C : N.ligne     26 | Xml : N.ligne     26 | Différence    0
Année 2012 | Mois 03 | Matricule   0273 | Rang global     86 | Rang dans fichier    86 | Analyseur C : N.ligne     23 | Xml : N.ligne     23 | Différence    0
Année 2012 | Mois 03 | Matricule   0243 | Rang global     87 | Rang dans fichier    87 | Analyseur C : N.ligne     25 | Xml : N.ligne     25 | Différence    0
Année 2012 | Mois 03 | Matricule   0100 | Rang global     88 | Rang dans fichier    88 | Analyseur C : N.ligne     29 | Xml : N.ligne     29 | Différence    0
Année 2012 | Mois 03 | Matricule   7031 | Rang global     89 | Rang dans fichier    89 | Analyseur C : N.ligne     22 | Xml : N.ligne     22 | Différence    0
Année 2012 | Mois 03 | Matricule   0103 | Rang global     90 | Rang dans fichier    90 | Analyseur C : N.ligne     38 | Xml : N.ligne     38 | Différence    0
Année 2012 | Mois 03 | Matricule   0104 | Rang global     91 | Rang dans fichier    91 | Analyseur C : N.ligne     26 | Xml : N.ligne     26 | Différence    0
Année 2012 | Mois 03 | Matricule   7025 | Rang global     92 | Rang dans fichier    92 | Analyseur C : N.ligne     22 | Xml : N.ligne     22 | Différence    0
Année 2012 | Mois 03 | Matricule   0105 | Rang global     93 | Rang dans fichier    93 | Analyseur C : N.ligne     28 | Xml : N.ligne     28 | Différence    0
Année 2012 | Mois 03 | Matricule   4153 | Rang global     94 | Rang dans fichier    94 | Analyseur C : N.ligne     26 | Xml : N.ligne     26 | Différence    0
Année 2012 | Mois 03 | Matricule   4502 | Rang global     95 | Rang dans fichier    95 | Analyseur C : N.ligne     21 | Xml : N.ligne     21 | Différence    0
Année 2012 | Mois 03 | Matricule   0564 | Rang global     96 | Rang dans fichier    96 | Analyseur C : N.ligne     28 | Xml : N.ligne     28 | Différence    0
Année 2012 | Mois 03 | Matricule   0108 | Rang global     97 | Rang dans fichier    97 | Analyseur C : N.ligne     23 | Xml : N.ligne     23 | Différence    0
Année 2012 | Mois 03 | Matricule   4316 | Rang global     98 | Rang dans fichier    98 | Analyseur C : N.ligne     27 | Xml : N.ligne     27 | Différence    0
Année 2012 | Mois 03 | Matricule   4186 | Rang global     99 | Rang dans fichier    99 | Analyseur C : N.ligne     24 | Xml : N.ligne     24 | Différence    0
Année 2012 | Mois 03 | Matricule   9008 | Rang global    100 | Rang dans fichier   100 | Analyseur C : N.ligne     12 | Xml : N.ligne     12 | Différence    0
Année 2012 | Mois 03 | Matricule   3174 | Rang global    101 | Rang dans fichier   101 | Analyseur C : N.ligne     25 | Xml : N.ligne     25 | Différence    0
