Loading http://mirrors.ibiblio.org/pub/mirrors/CTAN/systems/texlive/tlnet/tlpkg/texlive.tlpdb
Installing TeX Live 2014 from: http://mirrors.ibiblio.org/pub/mirrors/CTAN/systems/texlive/tlnet
Platform: win32 => 'Windows'
Distribution: net  (downloading)
Using URL: http://mirrors.ibiblio.org/pub/mirrors/CTAN/systems/texlive/tlnet
Directory for temporary files: C:/Users/fnicol/AppData/Local/Temp
Installer revision: 36087
Database revision: 36203
Installing [001/842, time/total: ??:??/??:??]: 12many [3k]
Installing [091/842, time/total: 01:06/16:29]: bidicontour [2k]
Installing [092/842, time/total: 01:06/16:29]: bidipagegrid [4k]
Installing [093/842, time/total: 01:07/16:44]: bidipresentation [28k]
Installing [094/842, time/total: 01:07/16:41]: bidishadowtext [2k]
Installing [095/842, time/total: 01:08/16:56]: binomexp [3k]
Installing [096/842, time/total: 01:08/16:56]: blockdraw_mp [5k]
Installing [097/842, time/total: 01:08/16:55]: boldtensors [3k]
Installing [098/842, time/total: 01:09/17:10]: bookman [272k]
Installing [099/842, time/total: 01:11/17:15]: booktabs [3k]
Installing [100/842, time/total: 01:12/17:30]: booktabs-de [1k]
Installing [101/842, time/total: 01:12/17:30]: booktabs-fr [1k]
Installing [102/842, time/total: 01:12/17:30]: bosisio [7k]
Installing [103/842, time/total: 01:13/17:44]: bpolynomial [3k]
Installing [104/842, time/total: 01:13/17:43]: breqn [24k]
Installing [105/842, time/total: 01:14/17:56]: bropd [2k]
Installing [106/842, time/total: 01:14/17:56]: bundledoc [12k]
Installing [107/842, time/total: 01:14/17:55]: bundledoc.win32 [1k]
Installing [108/842, time/total: 01:15/18:09]: calculation [4k]
Installing [109/842, time/total: 01:15/18:09]: caption [32k]
Installing [110/842, time/total: 01:16/18:20]: carlisle [12k]
Installing [111/842, time/total: 01:16/18:19]: cc-pl [417k]
Installing [112/842, time/total: 01:18/18:10]: ccfonts [3k]
Installing [113/842, time/total: 01:18/18:09]: charter [172k]
Installing [114/842, time/total: 01:19/18:08]: checkcites [5k]
Installing [115/842, time/total: 01:19/18:08]: checkcites.win32 [1k]
Installing [116/842, time/total: 01:20/18:21]: chickenize [10k]
Installing [117/842, time/total: 01:20/18:21]: chktex [10k]
Installing [118/842, time/total: 01:20/18:20]: chktex.win32 [33k]
Installing [119/842, time/total: 01:21/18:31]: cite [24k]
Installing [120/842, time/total: 01:21/18:29]: cm [234k]
Installing [121/842, time/total: 01:23/18:35]: cm-super [63049k]
Installing [122/842, time/total: 03:51/08:39]: cmap [6k]
Installing [123/842, time/total: 03:52/08:41]: cmarrows [10k]
Installing [124/842, time/total: 03:53/08:43]: cmextra [22k]
Installing [125/842, time/total: 03:53/08:43]: cnbwp [10k]
Installing [126/842, time/total: 03:54/08:45]: codicefiscaleitaliano [2k]
Installing [127/842, time/total: 03:54/08:45]: collection-basic [1k]
Installing [128/842, time/total: 03:55/08:48]: collection-binextra [1k]
Installing [129/842, time/total: 03:55/08:48]: collection-context [1k]
Installing [130/842, time/total: 03:55/08:48]: collection-fontsrecommended [1k]
