age;Hommes;Femmes;année.référence;versant
14;2;4;2012;FPT
15;1;1;;
16;6;3;;
17;12;30;;
18;184;580;;
19;426;1 754;;
20;757;3 287;;
21;1 253;6 368;;
22;1 913;10 810;;
23;2 881;15 605;;
24;4 249;20 454;;
25;5 675;23 852;;
26;5 985;25 082;;
27;5 885;24 737;;
28;5 498;23 432;;
29;5 382;22 626;;
30;5 853;24 397;;
31;5 962;24 223;;
32;5 967;23 952;;
33;5 679;22 515;;
34;5 629;21 436;;
35;5 777;20 907;;
36;5 497;20 346;;
37;5 743;20 985;;
38;6 334;22 176;;
39;6 619;23 924;;
40;6 704;25 192;;
41;6 861;25 332;;
42;6 653;24 556;;
43;6 704;24 449;;
44;6 660;24 229;;
45;6 619;23 775;;
46;7 031;24 594;;
47;7 103;24 181;;
48;7 187;24 706;;
49;7 563;24 682;;
50;7 347;24 069;;
51;7 798;24 879;;
52;7 735;25 206;;
53;7 879;25 365;;
54;8 173;24 950;;
55;8 167;24 814;;
56;7 538;19 306;;
57;6 964;16 718;;
58;6 608;13 986;;
59;5 671;11 657;;
60;4 053;8 425;;
61;2 707;4 159;;
62;2 087;2 609;;
63;1 945;1 885;;
64;1 541;1 278;;
65;945;656;;
66;533;326;;
67;309;171;;
68;238;101;;
