age;Hommes;Femmes;année.référence;versant
15;0;0;2011;FPH
16;3;6;;
17;16;24;;
18;188;730;;
19;497;2 186;;
20;891;3 835;;
21;1 392;6 573;;
22;2 023;10 889;;
23;2 811;15 546;;
24;4 230;20 162;;
25;5 260;23 487;;
26;5 536;24 306;;
27;5 462;23 796;;
28;5 344;22 994;;
29;5 776;24 476;;
30;5 907;24 185;;
31;6 066;24 065;;
32;5 666;22 638;;
33;5 595;21 384;;
34;5 741;20 811;;
35;5 511;20 227;;
36;5 717;20 926;;
37;6 250;22 061;;
38;6 607;23 806;;
39;6 700;24 952;;
40;6 839;25 153;;
41;6 652;24 464;;
42;6 689;24 311;;
43;6 640;24 122;;
44;6 595;23 698;;
45;6 987;24 564;;
46;7 104;24 256;;
47;7 212;24 813;;
48;7 570;24 836;;
49;7 351;24 248;;
50;7 834;25 037;;
51;7 759;25 442;;
52;7 891;25 674;;
53;8 208;25 364;;
54;8 278;25 830;;
55;7 985;22 710;;
56;7 282;18 540;;
57;7 011;15 520;;
58;6 100;12 906;;
59;5 006;10 757;;
60;3 769;6 981;;
61;2 480;3 688;;
62;2 240;2 492;;
63;1 731;1 607;;
64;1 461;1 188;;
65;776;540;;
66;391;233;;
67;334;157;;
68;182;89;;
