Matricule;Annee;Agrégat;c;Grade;nb.mois;Régime
300208;2013;4359,36;12;ASSISTANT SOCIO-EDUCATIF;12;IEMP 0 mois-IFSE 0 mois-Cumul 12 mois
300309;2009;4113,48;0;EDUC.DE JEUNES ENFANTS;12;IEMP 0 mois-IFSE 12 mois-Cumul 0 mois
300309;2010;4754,92;0;EDUC.DE JEUNES ENFANTS;12;IEMP 0 mois-IFSE 12 mois-Cumul 0 mois
300309;2011;4754,92;0;EDUC.DE JEUNES ENFANTS;12;IEMP 0 mois-IFSE 12 mois-Cumul 0 mois
300309;2012;4108,8;0;EDUC.DE JEUNES ENFANTS;12;IEMP 0 mois-IFSE 12 mois-Cumul 0 mois
300309;2013;4108,8;0;EDUC.DE JEUNES ENFANTS;12;IEMP 0 mois-IFSE 12 mois-Cumul 0 mois
300352;2009;3074,04;12;ASSISTANT SOCIO-EDUCATIF;12;IEMP 0 mois-IFSE 0 mois-Cumul 12 mois
300352;2010;3715,48;12;ASSISTANT SOCIO-EDUCATIF;12;IEMP 0 mois-IFSE 0 mois-Cumul 12 mois
300352;2011;1278,69;2;ASSIST.SOCIO-EDUC.PRINC;3;IEMP 0 mois-IFSE 1 mois-Cumul 2 mois
300357;2009;3039,88;12;ASSISTANT SOCIO-EDUCATIF;12;IEMP 0 mois-IFSE 0 mois-Cumul 12 mois
300357;2010;3715,48;12;ASSISTANT SOCIO-EDUCATIF;12;IEMP 0 mois-IFSE 0 mois-Cumul 12 mois
300357;2011;1153,78;2;ASSISTANT SOCIO-EDUCATIF;3;IEMP 0 mois-IFSE 1 mois-Cumul 2 mois
300364;2009;3569,85;0;EDUC.DE JEUNES ENFANTS;12;IEMP 0 mois-IFSE 12 mois-Cumul 0 mois
300364;2010;4251,4;0;EDUC.DE JEUNES ENFANTS;12;IEMP 0 mois-IFSE 12 mois-Cumul 0 mois
300364;2011;3970,63;0;EDUC.DE JEUNES ENFANTS;12;IEMP 0 mois-IFSE 12 mois-Cumul 0 mois
300364;2012;1883,2;0;EDUC.DE JEUNES ENFANTS;10;IEMP 0 mois-IFSE 10 mois-Cumul 0 mois
300364;2013;2465,28;0;EDUC.DE JEUNES ENFANTS;12;IEMP 0 mois-IFSE 12 mois-Cumul 0 mois
300658;2009;3074,04;12;ASSISTANT SOCIO-EDUCATIF;12;IEMP 0 mois-IFSE 0 mois-Cumul 12 mois
300658;2010;3715,48;12;ASSISTANT SOCIO-EDUCATIF;12;IEMP 0 mois-IFSE 0 mois-Cumul 12 mois
300658;2011;512,34;2;ASSISTANT SOCIO-EDUCATIF;2;IEMP 0 mois-IFSE 0 mois-Cumul 2 mois
300679;2009;3290,76;0;EDUC.DE JEUNES ENFANTS;12;IEMP 0 mois-IFSE 12 mois-Cumul 0 mois
300679;2010;3551,92;0;EDUC.DE JEUNES ENFANTS;12;IEMP 0 mois-IFSE 12 mois-Cumul 0 mois
300679;2011;3478,33;0;EDUC.DE JEUNES ENFANTS;12;IEMP 0 mois-IFSE 12 mois-Cumul 0 mois
300679;2012;3287,04;0;EDUC.DE JEUNES ENFANTS;12;IEMP 0 mois-IFSE 12 mois-Cumul 0 mois
300679;2013;2081,79;0;EDUC.DE JEUNES ENFANTS;8;IEMP 0 mois-IFSE 8 mois-Cumul 0 mois
