age;Hommes;Femmes;annee.reference;versant
15;0;0;2019;fph
16;9;10;;
17;18;25;;
18;249;844;;
19;610;2356;;
20;940;3746;;
21;1246;6327;;
22;1894;10438;;
23;2733;14387;;
24;4252;18235;;
25;5756;20643;;
26;6371;21524;;
27;7039;22641;;
28;6746;23127;;
29;6522;23409;;
30;6663;23945;;
31;6488;24553;;
32;6427;24551;;
33;6228;24806;;
34;6029;24457;;
35;5657;23929;;
36;5775;23485;;
37;6069;25305;;
38;6151;25168;;
39;6136;25086;;
40;5955;23610;;
41;5859;22571;;
42;5968;22221;;
43;5730;21767;;
44;6106;22384;;
45;6558;23752;;
46;6890;25347;;
47;6908;26375;;
48;6981;26406;;
49;6773;25586;;
50;6744;25130;;
51;6790;24809;;
52;6625;24167;;
53;7016;24773;;
54;7054;24227;;
55;7110;24520;;
56;7365;24141;;
57;6810;21387;;
58;6791;19638;;
59;6372;17342;;
60;5307;14442;;
61;4225;10471;;
62;3099;6105;;
63;2331;3615;;
64;1910;2550;;
65;1451;1523;;
66;955;788;;
67;660;429;;
68;515;272;;
