age;Hommes;Femmes;annee.reference;versant
15;1;51;2020;fph
16;7;200;;
17;12;323;;
18;280;1683;;
19;762;3896;;
20;1227;5773;;
21;1661;7092;;
22;2129;8226;;
23;2988;9334;;
24;4363;11033;;
25;6076;12123;;
26;6595;13052;;
27;6769;13770;;
28;7106;15317;;
29;6789;16522;;
30;6612;17653;;
31;6784;18863;;
32;6606;19922;;
33;6599;20855;;
34;6352;21830;;
35;6165;22689;;
36;5778;23324;;
37;5855;23804;;
38;6159;26612;;
39;6254;27691;;
40;6233;29131;;
41;6024;28624;;
42;5921;28668;;
43;5995;29954;;
44;5809;30398;;
45;6168;31880;;
46;6601;35204;;
47;6903;38336;;
48;6963;39392;;
49;7034;39993;;
50;6839;39556;;
51;6724;39419;;
52;6808;39262;;
53;6644;39882;;
54;7035;41293;;
55;7055;41703;;
56;7084;42343;;
57;7064;40863;;
58;6578;38220;;
59;6524;37285;;
60;5375;33069;;
61;4401;29569;;
62;3188;18770;;
63;2510;11635;;
64;1953;8224;;
65;1521;5529;;
66;1114;3252;;
67;703;1079;;
68;555;560;;
