age;Hommes;Femmes;annee.reference;versant
15;31;64;2015;fpt
16;201;329;;
17;391;624;;
18;1390;1 260;;
19;3404;2 368;;
20;5122;3 292;;
21;6367;3 828;;
22;7459;4 639;;
23;9272;5 452;;
24;10891;6 367;;
25;12386;7 375;;
26;13854;8 479;;
27;14989;9 377;;
28;16117;10 296;;
29;17385;10 981;;
30;18098;11 690;;
31;18623;12 025;;
32;19255;12 690;;
33;21601;14 374;;
34;22910;15 272;;
35;24224;15 778;;
36;24162;15 924;;
37;24602;16 231;;
38;25911;17 391;;
39;26390;17 417;;
40;28120;19 029;;
41;31423;21 333;;
42;34487;23 310;;
43;36076;23 809;;
44;36967;23 788;;
45;36934;23 438;;
46;37168;22 998;;
47;37424;23 011;;
48;38367;23 232;;
49;40371;24 370;;
50;41058;24 881;;
51;42184;25 693;;
52;41192;25 290;;
53;38840;24 474;;
54;38717;24 898;;
55;37246;24 691;;
56;36910;24 079;;
57;34794;23 087;;
58;33119;21 800;;
59;31281;20 168;;
60;26518;14 189;;
61;21007;10 105;;
62;11802;6 246;;
63;8570;4 223;;
64;5974;3 033;;
65;2523;1 181;;
66;1399;649;;
67;741;418;;
68;410;223;;
