age;Hommes;Femmes;annee.reference;versant
15;97;41;2012;FPH
16;449;276;;
17;848;611;;
18;1450;1611;;
19;2487;3396;;
20;3458;5294;;
21;4446;6911;;
22;5200;8518;;
23;6354;10391;;
24;7485;12089;;
25;8353;13604;;
26;9467;14729;;
27;9952;15735;;
28;10665;16402;;
29;11246;16878;;
30;12927;19005;;
31;14050;20286;;
32;14545;21520;;
33;14859;21502;;
34;15138;21859;;
35;16234;23270;;
36;16357;23839;;
37;17844;25285;;
38;20136;28749;;
39;22098;31599;;
40;22591;33273;;
41;22522;34473;;
42;22258;34384;;
43;22078;35008;;
44;22053;35332;;
45;22433;36643;;
46;23583;38643;;
47;24285;39606;;
48;25329;41079;;
49;24810;40292;;
50;24196;38422;;
51;24767;38354;;
52;24618;37184;;
53;24228;37017;;
54;23848;35237;;
55;23082;33933;;
56;21819;32459;;
57;20225;30633;;
58;19195;29283;;
59;17129;27009;;
60;11983;23056;;
61;6260;11770;;
62;4456;8482;;
63;3204;6378;;
64;2392;4670;;
65;970;2097;;
66;524;1040;;
67;237;426;;
68;149;228;;
