age;Hommes;Femmes;annee.reference;versant
15;37;84;2016;fpt
16;179;307;;
17;360;527;;
18;1333;1259;;
19;3135;2237;;
20;4971;3131;;
21;6185;3949;;
22;7538;4596;;
23;8594;5603;;
24;10392;6353;;
25;12021;7646;;
26;13359;8479;;
27;14786;9492;;
28;15912;10366;;
29;16893;10998;;
30;17922;11446;;
31;18665;12114;;
32;19256;12433;;
33;19896;13040;;
34;22198;14662;;
35;23540;15575;;
36;24829;16111;;
37;24831;16111;;
38;25117;16546;;
39;26447;17726;;
40;26968;17744;;
41;28720;19314;;
42;32030;21639;;
43;35044;23648;;
44;36634;24135;;
45;37453;24065;;
46;37242;23690;;
47;37507;23202;;
48;37644;23251;;
49;38652;23421;;
50;40377;24436;;
51;41016;24952;;
52;42010;25731;;
53;40958;25421;;
54;38671;24442;;
55;38452;24818;;
56;36953;24547;;
57;36346;23525;;
58;34200;22455;;
59;32486;20996;;
60;27959;15000;;
61;23505;11000;;
62;13028;6759;;
63;9197;4733;;
64;6804;3306;;
65;3268;1569;;
66;1426;694;;
67;815;390;;
68;427;288;;
