age;Hommes;Femmes;annee.reference;versant
15;184;69;2019;fpt
16;505;212;;
17;753;405;;
18;1766;1702;;
19;2926;3830;;
20;3861;5586;;
21;4548;6724;;
22;5128;7927;;
23;6131;9573;;
24;7209;10791;;
25;7754;12083;;
26;8811;12820;;
27;9602;14407;;
28;10646;15653;;
29;11095;16920;;
30;11900;18110;;
31;12497;19178;;
32;12946;19943;;
33;13245;20903;;
34;13928;21704;;
35;14110;22389;;
36;14699;23092;;
37;16312;25669;;
38;17232;26778;;
39;17708;28292;;
40;17693;27887;;
41;18105;27974;;
42;19130;29213;;
43;19253;29751;;
44;20864;31321;;
45;23008;34674;;
46;25075;37733;;
47;25672;39017;;
48;25439;39683;;
49;25041;39172;;
50;24416;39235;;
51;24299;39026;;
52;24437;39715;;
53;25403;41260;;
54;25896;41823;;
55;26509;42658;;
56;25992;41305;;
57;24524;38779;;
58;24328;38038;;
59;23544;35891;;
60;17965;32746;;
61;13315;27957;;
62;8467;17096;;
63;5684;10970;;
64;4083;7723;;
65;2808;5389;;
66;1242;2463;;
67;495;1047;;
68;297;515;;
