   D1            ; 26 040   ; 26 340 ;  26 460  ;  26 724 ; 28 080 ; 25 512
   D2            ; 28 992   ;        ;          ;         ; 31 164 ; 28 728  
   D3            ; 31 272   ;        ;          ;         ; 33 612 ; 31 080  
   D4            ; 33 468   ;        ;          ;         ; 35 892 ; 33 168  
 D5 (médiane)    ; 35 820   ; 36 312 ;  36 580  ;  37 020 ; 38 280 ; 35 520
     D6          ; 38 664   ;        ;          ;         ; 41 136 ; 38 400    
     D7          ; 42 276   ;        ;          ;         ; 44 556 ; 42 000  
     D8          ; 47 124   ;        ;          ;         ; 49 080 ; 46 728
     D9          ; 54 840   ; 55 032 ;  55 440  ;  55 284 ; 56 628 ; 54 444
   Moyenne       ; 38 700   ; 39 120 ;  39 360  ;  39 564 ; 40 920 ; 38 424

