age;Hommes;Femmes;annee.reference;versant
15;168;51;2020;fpt
16;429;200;;
17;627;323;;
18;1483;1683;;
19;2840;3896;;
20;3948;5773;;
21;4673;7092;;
22;5332;8226;;
23;5818;9334;;
24;7034;11033;;
25;7982;12123;;
26;8534;13052;;
27;9435;13770;;
28;10231;15317;;
29;11161;16522;;
30;11674;17653;;
31;12389;18863;;
32;12957;19922;;
33;13323;20855;;
34;13630;21830;;
35;14231;22689;;
36;14441;23324;;
37;15141;23804;;
38;16680;26612;;
39;17659;27691;;
40;18085;29131;;
41;18096;28624;;
42;18383;28668;;
43;19544;29954;;
44;19623;30398;;
45;21118;31880;;
46;23247;35204;;
47;25274;38336;;
48;26028;39392;;
49;25658;39993;;
50;25159;39556;;
51;24544;39419;;
52;24372;39262;;
53;24488;39882;;
54;25474;41293;;
55;25871;41703;;
56;26363;42343;;
57;25599;40863;;
58;24135;38220;;
59;23809;37285;;
60;18934;33069;;
61;14361;29569;;
62;9365;18770;;
63;6017;11635;;
64;4315;8224;;
65;2922;5529;;
66;1690;3252;;
67;548;1079;;
68;278;560;;
