age;Hommes;Femmes;année.référence;versant
15;0;0;2016;fph
16;4;2;;
17;12;15;;
18;662;154;;
19;1864;446;;
20;3239;720;;
21;5405;1125;;
22;8926;1775;;
23;12720;2518;;
24;17599;4254;;
25;21813;5757;;
26;23638;6419;;
27;24887;6971;;
28;24975;6814;;
29;24873;6638;;
30;25036;6348;;
31;24399;6044;;
32;23655;5631;;
33;23066;5706;;
34;24819;6090;;
35;24728;6092;;
36;24547;6127;;
37;23201;5862;;
38;22041;5788;;
39;21664;5878;;
40;21233;5616;;
41;21717;6002;;
42;23078;6449;;
43;24805;6852;;
44;25931;6879;;
45;25966;7012;;
46;25161;6685;;
47;24930;6752;;
48;24652;6755;;
49;24063;6634;;
50;24797;7005;;
51;24212;7101;;
52;24661;7145;;
53;24475;7453;;
54;23771;7211;;
55;24262;7634;;
56;24156;7522;;
57;20968;7195;;
58;17943;6986;;
59;16092;6700;;
60;11726;5053;;
61;8865;3921;;
62;4722;2796;;
63;2826;2208;;
64;2019;1744;;
65;1001;1139;;
66;472;706;;
67;299;632;;
68;186;476;;
