age;Hommes;Femmes;annee.reference;versant
15;43;71;2018;fpt
16;158;302;;
17;343;559;;
18;1498;1401;;
19;3521;2481;;
20;5100;3279;;
21;6276;4016;;
22;7794;5054;;
23;9066;5951;;
24;10591;6612;;
25;11476;7730;;
26;13263;8588;;
27;14494;9768;;
28;15676;10357;;
29;17090;11241;;
30;18042;11881;;
31;18738;12295;;
32;19907;12617;;
33;20658;13306;;
34;21235;13531;;
35;21978;14097;;
36;24420;15697;;
37;25609;16612;;
38;27152;17126;;
39;26782;17083;;
40;26981;17516;;
41;28265;18665;;
42;28823;18775;;
43;30434;20300;;
44;33788;22583;;
45;36873;24590;;
46;38315;25153;;
47;38947;24975;;
48;38550;24624;;
49;38685;24065;;
50;38679;24001;;
51;39413;24153;;
52;41008;25116;;
53;41618;25720;;
54;42569;26320;;
55;41317;25902;;
56;38814;24812;;
57;38373;24709;;
58;36504;23972;;
59;35557;22726;;
60;30847;16826;;
61;26131;12157;;
62;16121;7872;;
63;10076;5253;;
64;7231;3766;;
65;5060;2636;;
66;1794;852;;
67;874;441;;
68;466;281;;
