age;Hommes;Femmes;annee.reference;versant
15;3;1;2021;fph
16;7;2;;
17;20;33;;
18;307;816;;
19;676;2410;;
20;1244;4290;;
21;1770;7483;;
22;2198;11026;;
23;2857;14664;;
24;4318;18948;;
25;6025;22374;;
26;6823;23159;;
27;6808;22140;;
28;6656;21574;;
29;6977;22415;;
30;6758;23112;;
31;6622;23671;;
32;6789;24329;;
33;6594;24930;;
34;6648;25152;;
35;6441;25377;;
36;6177;24889;;
37;5791;24485;;
38;5906;23897;;
39;6230;25763;;
40;6261;25594;;
41;6251;25560;;
42;6032;24117;;
43;5936;23110;;
44;6066;22677;;
45;5819;22342;;
46;6160;22906;;
47;6657;24226;;
48;6927;25791;;
49;6991;26713;;
50;7089;26815;;
51;6841;25800;;
52;6703;25341;;
53;6822;24957;;
54;6654;24259;;
55;7018;24802;;
56;7005;24169;;
57;6886;22982;;
58;6842;20781;;
59;6370;18369;;
60;5604;16015;;
61;4526;12913;;
62;3296;7332;;
63;2557;4363;;
64;2096;2843;;
65;1579;1782;;
66;1222;1352;;
67;783;597;;
68;589;343;;
