age;Hommes;Femmes;année.référence;versant
15;0;0;2014;fph
16;5;4;;
17;11;10;;
18;177;753;;
19;467;1883;;
20;728;2893;;
21;1204;5249;;
22;1869;9561;;
23;2643;14135;;
24;4077;19114;;
25;5928;23409;;
26;6695;25457;;
27;6763;25724;;
28;6339;25499;;
29;6036;24530;;
30;5605;23558;;
31;5595;22966;;
32;6049;24798;;
33;6097;24574;;
34;6055;24307;;
35;5805;22848;;
36;5762;21823;;
37;5898;21384;;
38;5600;20952;;
39;5923;21548;;
40;6437;22782;;
41;6799;24484;;
42;6851;25643;;
43;6989;25852;;
44;6720;25022;;
45;6741;24819;;
46;6740;24611;;
47;6632;24037;;
48;7064;24849;;
49;7144;24319;;
50;7228;24806;;
51;7549;24723;;
52;7304;24027;;
53;7774;24702;;
54;7679;24878;;
55;7793;24847;;
56;7801;22350;;
57;7392;19623;;
58;6851;16315;;
59;6266;14234;;
60;4832;10184;;
61;3441;6471;;
62;2430;3726;;
63;1962;2271;;
64;1589;1631;;
65;1104;799;;
66;772;438;;
67;594;300;;
68;342;155;;
