SMPT brut  ;1,7;1,2;0,9;2,4;2,3;1,6;1,5;1
SMPT net   ;1,3;0,8;0,6;2,1;1;1,5;1,3;1,2
RMPP brute ;3;2,1;1,7;3,2;2,7;2,7;2,2;2,4
RMPP nette ;2,7;1,7;1,3;2,8;1,5;2,3;2;2,5
