age;Hommes;Femmes;année.référence;versant
15;1;2;2015;fph
16;2;5;;
17;25;11;;
18;651;170;;
19;1953;467;;
20;2975;739;;
21;5193;1 169;;
22;8780;1 728;;
23;13303;2 661;;
24;18556;4 169;;
25;22346;5 637;;
26;24586;6 701;;
27;25383;6 934;;
28;25259;6 718;;
29;25159;6 339;;
30;24365;6 068;;
31;23598;5 601;;
32;22972;5 677;;
33;24738;6 083;;
34;24601;6 057;;
35;24344;6 097;;
36;22905;5 842;;
37;21888;5 742;;
38;21565;5 882;;
39;21041;5 576;;
40;21597;5 923;;
41;22899;6 441;;
42;24596;6 794;;
43;25773;6 824;;
44;25865;6 965;;
45;25070;6 717;;
46;24817;6 730;;
47;24635;6 710;;
48;24061;6 607;;
49;24768;7 003;;
50;24277;7 089;;
51;24721;7 162;;
52;24579;7 487;;
53;23921;7 241;;
54;24473;7 702;;
55;24537;7 571;;
56;23746;7 589;;
57;19989;7 378;;
58;17745;7 008;;
59;14950;6 445;;
60;11085;4 849;;
61;7757;3 749;;
62;4241;2 699;;
63;2688;2 090;;
64;1792;1 710;;
65;840;1 001;;
66;461;823;;
67;286;609;;
68;201;464;;
