age;Hommes;Femmes;annee.reference;versant
15;0;1;2017;fph
16;2;1;;
17;19;12;;
18;156;655;;
19;416;1919;;
20;779;3273;;
21;1205;5916;;
22;1772;9648;;
23;2648;12927;;
24;4029;16863;;
25;5982;21152;;
26;6582;23309;;
27;6748;24092;;
28;6994;24623;;
29;6664;24796;;
30;6426;24569;;
31;6164;24878;;
32;5906;24342;;
33;5518;23643;;
34;5648;23247;;
35;6081;24957;;
36;6121;24911;;
37;6136;24744;;
38;5857;23403;;
39;5827;22241;;
40;5933;21828;;
41;5622;21448;;
42;6032;21982;;
43;6494;23354;;
44;6856;25066;;
45;6901;26081;;
46;7000;26211;;
47;6739;25322;;
48;6767;25050;;
49;6757;24796;;
50;6654;24149;;
51;7009;24845;;
52;7090;24261;;
53;7129;24637;;
54;7450;24432;;
55;7201;23692;;
56;7584;24074;;
57;7117;21303;;
58;6824;18780;;
59;6603;16203;;
60;5204;12859;;
61;4011;9103;;
62;2981;5545;;
63;2210;3150;;
64;1801;2146;;
65;1305;1267;;
66;801;574;;
67;583;323;;
68;538;214;;
