age;Hommes;Femmes;annee.reference;versant
15;233;82;2021;fpt
16;582;232;;
17;749;457;;
18;1835;1971;;
19;3029;4179;;
20;4354;6144;;
21;5154;7698;;
22;5642;8538;;
23;6360;9664;;
24;6951;10789;;
25;7908;12246;;
26;8961;13243;;
27;9260;14004;;
28;10083;14592;;
29;10884;16093;;
30;11795;17279;;
31;12247;18573;;
32;12927;19831;;
33;13534;20961;;
34;13921;21820;;
35;14276;22908;;
36;14766;23725;;
37;14939;24377;;
38;15671;24772;;
39;17242;27647;;
40;18202;28596;;
41;18546;30145;;
42;18561;29595;;
43;18847;29506;;
44;20043;30729;;
45;20051;31132;;
46;21620;32612;;
47;23782;35797;;
48;25816;38852;;
49;26432;40055;;
50;26082;40412;;
51;25584;39940;;
52;24920;39734;;
53;24693;39455;;
54;24687;39925;;
55;25689;41406;;
56;26079;41680;;
57;26297;42214;;
58;25346;40567;;
59;23661;37791;;
60;19927;35040;;
61;15460;30115;;
62;9993;19549;;
63;6699;12772;;
64;4534;8518;;
65;3140;5898;;
66;2117;3990;;
67;607;1142;;
68;324;549;;
