age;Hommes;Femmes;annee.reference;versant
15;72;58;2014;fpt
16;373;241;;
17;723;450;;
18;1468;1725;;
19;2688;3812;;
20;3492;5479;;
21;4382;6804;;
22;5202;8378;;
23;5952;10016;;
24;6853;11641;;
25;7988;13249;;
26;8920;14474;;
27;9825;15700;;
28;10671;16915;;
29;11297;17500;;
30;11782;18165;;
31;12386;18679;;
32;14049;20971;;
33;15059;22253;;
34;15409;23537;;
35;15614;23469;;
36;15964;23841;;
37;17094;25257;;
38;17128;25699;;
39;18710;27368;;
40;21042;30763;;
41;22975;33793;;
42;23449;35310;;
43;23403;36343;;
44;23091;36371;;
45;22731;36585;;
46;22728;36934;;
47;22995;38032;;
48;24117;39990;;
49;24704;40904;;
50;25623;42020;;
51;25204;40998;;
52;24327;38906;;
53;24858;38782;;
54;24707;37432;;
55;24174;37118;;
56;23433;35101;;
57;22193;33651;;
58;20912;31881;;
59;18934;29696;;
60;13638;25469;;
61;8792;17283;;
62;5466;10899;;
63;3772;7300;;
64;2809;5617;;
65;1186;2532;;
66;630;1267;;
67;350;729;;
68;241;412;;
