age;Hommes;Femmes
15;;
16;;
17;1;1
18;;
19;1;6
20;;2
21;1;2
22;2;6
23;3;2
24;2;4
25;1;2
26;;1
27;1;1
28;2;2
29;;1
30;;
31;;2
32;1;
33;;2
34;1;1
35;;3
36;;2
37;1;2
38;1;
39;;7
40;1;2
41;2;1
42;;4
43;;4
44;;
45;;1
46;2;
47;1;1
48;;2
49;;
50;;2
51;2;2
52;;1
53;1;
54;;2
55;;
56;1;1
57;2;
58;;
59;1;1
60;;1
61;1;1
62;;1
63;;1
64;;
65;;
66;1;
67;;
68;;
