age;Hommes;Femmes
15;;
16;;
17;2;2
18;3;
19;5;2
20;6;1
21;3;3
22;5;3
23;;7
24;;5
25;1;2
26;;3
27;2;3
28;2;3
29;5;2
30;5;5
31;1;3
32;5;5
33;4;2
34;3;6
35;8;7
36;7;2
37;4;6
38;5;7
39;8;5
40;6;9
41;7;8
42;8;10
43;9;12
44;9;9
45;9;7
46;10;15
47;8;9
48;6;13
49;11;10
50;7;11
51;9;12
52;9;9
53;8;4
54;8;10
55;8;11
56;13;6
57;4;10
58;8;7
59;2;6
60;2;3
61;1;
62;2;
63;1;1
64;;1
65;;
66;;
67;;1
68;;
