age;Hommes;Femmes
15;;
16;;
17;;1
18;1;
19;3;2
20;5;1
21;2;3
22;2;3
23;;7
24;;4
25;1;1
26;;
27;1;2
28;;1
29;2;
30;;3
31;;2
32;1;3
33;;2
34;;
35;;2
36;1;
37;;
38;;1
39;1;2
40;1;2
41;1;3
42;1;2
43;;2
44;;4
45;3;1
46;;2
47;;4
48;;1
49;;1
50;1;
51;1;1
52;2;2
53;1;
54;;1
55;1;2
56;1;
57;1;1
58;;2
59;1;
60;;
61;;
62;;
63;;
64;;1
65;;
66;;
67;;1
68;;
