age;Hommes;Femmes
15;;
16;;1
17;;3
18;;2
19;;
20;;
21;;
22;;
23;;
24;;
25;;
26;;
27;;
28;;
29;;
30;;
31;;
32;;
33;;1
34;;
35;;
36;;
37;;
38;;
39;;
40;;
41;;
42;;1
43;;
44;;1
45;;1
46;;
47;;
48;;1
49;;1
50;1;
51;;
52;;1
53;;
54;;1
55;;
56;;3
57;;1
58;;1
59;;1
60;;1
61;;
62;;
63;;
64;;
65;;
66;;
67;;
68;;
