age;Hommes;Femmes
15;;
16;;
17;;
18;;
19;;
20;;
21;;
22;1;
23;;
24;;
25;;
26;;3
27;1;1
28;2;2
29;3;2
30;5;2
31;1;1
32;4;2
33;4;
34;3;6
35;8;5
36;6;2
37;4;6
38;5;6
39;7;3
40;5;7
41;6;4
42;7;8
43;9;10
44;9;5
45;6;6
46;10;10
47;8;5
48;6;11
49;11;9
50;6;11
51;8;11
52;7;6
53;7;4
54;8;9
55;7;9
56;12;6
57;3;9
58;8;5
59;1;6
60;2;3
61;1;
62;2;
63;1;1
64;;
65;;
66;;
67;;
68;;
