age;Hommes;Femmes
15;;
16;;
17;;
18;;
19;;
20;;
21;;
22;;
23;;
24;1;2
25;2;1
26;2;
27;1;1
28;4;2
29;4;
30;2;5
31;9;4
32;7;4
33;4;4
34;6;5
35;5;2
36;4;5
37;6;3
38;7;7
39;7;8
40;8;5
41;6;5
42;11;10
43;9;5
44;6;11
45;11;8
46;8;10
47;9;10
48;8;5
49;8;4
50;8;11
51;5;10
52;12;6
53;3;11
54;11;5
55;2;7
56;7;3
57;4;2
58;3;2
59;2;6
60;1;4
61;1;1
62;;2
63;;
64;;
65;;
66;;
67;;
68;;
