age;Hommes;Femmes
15;;
16;;1
17;1;4
18;;2
19;1;6
20;;2
21;1;2
22;2;6
23;3;2
24;3;6
25;3;3
26;2;1
27;2;2
28;6;4
29;4;1
30;2;5
31;9;6
32;8;4
33;4;7
34;7;6
35;5;5
36;4;7
37;7;5
38;8;7
39;7;15
40;9;7
41;8;6
42;11;15
43;9;9
44;6;12
45;11;10
46;10;10
47;10;11
48;8;8
49;8;5
50;9;13
51;7;12
52;12;8
53;4;11
54;11;8
55;2;7
56;8;7
57;6;3
58;3;3
59;3;8
60;1;6
61;2;2
62;;3
63;;1
64;;
65;;
66;1;
67;;
68;;
